Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.287753502050982
GAIADR2_G,0.6770110663028952,99.55806041139226
GAIADR2_Grp,0.7932285077813985,234.63879512514512
2MASS_J,1.2232108888203437,876.3632563407753
2MASS_H,1.641855972403177,1429.49448648799
2MASS_Ks,2.2024757594239204,1431.2029550288712
COBE_DIRBE_1.25,1.283483104056272,1010.381069391993
COBE_DIRBE_2.2,2.204923360251841,1403.5749596137825
COBE_DIRBE_3.5,3.5216206429049683,705.4443316424482
COBE_DIRBE_4.9,4.954844254630214,400.53638854622477
WISE_RSR_W3,12.190421913384565,120.75220529846213
WISE_RSR_W4,22.34270386612677,55.54328500532543
AKARI_S9W,9.18383127996886,192.64448527642406
AKARI_L18W,19.707973009475538,55.69765204151353
AKARI_FIS_N60,66.45843981304853,32.754689522318735
AKARI_FIS_WIDES,89.31838994934584,24.21405828057949
AKARI_FIS_WIDEL,150.9053990174674,7.946425715741801
IRAS_12,11.53431212209022,142.24122201322277
IRAS_25,23.841129632432338,54.454156402032964
IRAS_60,61.247123004860576,36.68340160477905
IRAS_100,102.00682088988309,18.19714856651731
HERSCHEL_PACS_BLUE,72.15371447969744,29.23110295379819
HERSCHEL_PACS_RED,167.0921512765277,6.3303010648216675
HERSCHEL_SPIRE_PSW,252.3914922376205,2.082507205126838
HERSCHEL_SPIRE_PMW,352.68603024791423,0.8339941875151822
HERSCHEL_SPIRE_PLW,513.5318418994426,0.3115818558033409
JCMT_SCUBA2_450,457.86151954735425,0.38371430851213256
JCMT_SCUBA2_850,862.2941509532168,0.07129862319143308
