Wavelength and Model Type, Chisqaured Result
outer_M2010_ChiSq_70, 12206.376476315842
outer_K2010_ChiSq_70, 16047.24538988003
Inner_ChiSq_70, 501582.42916716577
FourShell_Even_ChiSq_70, 48173.93164955038
FourShell_Uneven_ChiSq_70, 38435.64237005056
ContEm_Only_ChiSq_70, 59359.67405466379
outer_M2010_ChiSq_160, 551.23028002666
outer_K2010_ChiSq_160, 505.1228735350951
Inner_ChiSq_160, 4092.630970855396
FourShell_Even_ChiSq_160, 753.7095697104464
FourShell_Uneven_ChiSq_160, 676.7216926477105
Only_ChiSq_160, 1790.180692822632
outer_M2010_ChiSq_450, 31.37707787953591
outer_K2010_ChiSq_450, 31.561165466963573
Inner_ChiSq_450, 46.82180168268023
FourShell_Even_ChiSq_450, 32.73396596663648
FourShell_Uneven_ChiSq_450, 32.32807097402823
ContEm_Only_ChiSq_450, 38.11188561489598
outer_M2010_ChiSq_850, 481.23416452242833
outer_K2010_ChiSq_850, 460.21515881777225
Inner_ChiSq_850, 391.1872227697858
FourShell_Even_ChiSq_850, 445.9902096077336
FourShell_Uneven_ChiSq_850, 451.62009928246584
ContEm_Only_ChiSq_850, 567.0621743548796
